t,x,y,x_ref,y_ref,target_x,target_y,vx_ref,vy_ref,support,left_foot_x,left_foot_y,left_foot_z,left_knee_x,left_knee_y,left_knee_z,right_foot_x,right_foot_y,right_foot_z,right_knee_x,right_knee_y,right_knee_z,apple_x,apple_y,apple_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,apple_caught,wbc_control,arm_error_x,arm_error_y,arm_error_z,arm_force_x,arm_force_y,arm_force_z
0.0,8.983843609192008e-05,5.3903061655152045e-06,8.983843609192008e-05,5.3903061655152045e-06,2.5,0.15,0.005989229072794672,0.0003593537443676803,right_stance,0.1456632935822069,-0.13425111322533922,0.07950106728231551,0.06065935484061711,-0.12724977108115754,0.3852036168031291,-0.03352706542767579,0.13800080556145147,0.06485908227136017,-0.03618807150275925,0.1272095041008857,0.3821777887102592,2.35,-0.18,2.15,-0.02866012925126546,-0.23453553464140595,0.7152370861168397,-0.08104010398834074,0.24223714921040745,0.6311269369204984,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.01,-0.0001670398061638491,-9.333484513952749e-06,0.00023956916291178687,1.4374149774707212e-05,2.5,0.15,0.011978458145589344,0.0007187074887353606,right_stance,0.14449544456001648,-0.13618573193019198,0.08091852491771886,0.05669291506741256,-0.1284775981666039,0.3857756352529324,-0.03054526632112112,0.13817466154623498,0.06587485291975005,-0.035092440698480123,0.1272759308529983,0.3831672590182542,2.35,-0.18,2.15,-0.025014651961196087,-0.2344164515990761,0.7159297948240838,-0.08536567067931325,0.2418101488992686,0.6327015277646013,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.02,-0.0003830653161196581,-2.160355690957054e-05,0.0004491921804596004,2.695153082757602e-05,2.5,0.15,0.017967687218384015,0.001078061233103041,right_stance,0.14327266362536792,-0.13806743279040207,0.0823855617738507,0.05264260490709044,-0.12970927701310137,0.38635642798643005,-0.027423843786094557,0.1383568762048572,0.06688343640368513,-0.03390381521309946,0.12734793984032286,0.3841371848237216,2.35,-0.18,2.15,-0.0213342081820878,-0.23428608363176145,0.7166447084486096,-0.08963612054175193,0.24137612541218015,0.634278873285625,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.03,-0.0005580519193145127,-3.1410494723756494e-05,0.0007187074887353606,4.3122449324121636e-05,2.5,0.15,0.023956916291178687,0.0014374149774707213,right_stance,0.14199160111148976,-0.13989279282147854,0.08388420593952392,0.048515459661716054,-0.13094337083327165,0.3869303961210556,-0.02416416310197672,0.13854738048446924,0.06786567510846135,-0.03262198215782694,0.12742554208201673,0.38506759207143204,2.35,-0.18,2.15,-0.017628448102190233,-0.23414488222609894,0.7173616603269739,-0.0938413774480461,0.24093623985670098,0.6358368591006881,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.04,-0.000691812633511843,-3.87448699033358e-05,0.0010481150877390676,6.288690526434404e-05,2.5,0.15,0.02994614536397336,0.0017967687218384016,right_stance,0.14064908250593242,-0.1416592995943255,0.08539661964150937,0.044318960647043354,-0.13217839553900132,0.3874825508885843,-0.02076759547183578,0.13874610524601447,0.06880321275682734,-0.031246731669208022,0.12750874837900614,0.38593932572620204,2.35,-0.18,2.15,-0.013906992460507406,-0.23399338380098977,0.7180608684198797,-0.0979714618541212,0.24049174737166673,0.6373539350766142,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.05,-0.0007841600373144652,-4.3597259462703285e-05,0.0014374149774707213,8.624489864824327e-05,2.5,0.15,0.03593537443676803,0.002156122466206082,right_stance,0.139242142081008,-0.14336536777449557,0.08690542820168481,0.04006101447765957,-0.1334128105264778,0.3879988437294477,-0.017235515319251084,0.1389529813875984,0.06967887093958587,-0.029777857801614294,0.12759756926573054,0.3867344281317796,2.35,-0.18,2.15,-0.010179399600716925,-0.23383220638187413,0.7187233203819731,-0.10201651806437026,0.24004399172374472,0.6388095027349183,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.06,-0.0008349066398190338,-4.5958261971717956e-05,0.0018866071579303216,0.00011319642947581929,2.5,0.15,0.0419246035095627,0.002515476210573762,right_stance,0.13776805200306508,-0.14501033535575988,0.08839403101681864,0.03574992810944213,-0.13464501020762987,0.3884664751457563,-0.013569297577513852,0.13916793996540006,0.07047700348448614,-0.028215159439487283,0.12769201496109941,0.3874364949853068,2.35,-0.18,2.15,-0.0064551330134486225,-0.23366204546869798,0.7193311402560388,-0.1059668406244913,0.23959439899840315,0.6401842824816881,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.07,-0.0008438652497562088,-4.581851364153877e-05,0.0023956916291178686,0.00014374149774707212,2.5,0.15,0.047913832582357374,0.0028748299549414425,right_stance,0.1362243458354744,-0.14659443929045124,0.08984688825181615,0.031394379739533955,-0.13587331643617426,0.3888741761732401,-0.009770314982599232,0.1393909123116346,0.07118382187905645,-0.026558441227745394,0.12779209531873034,0.38803100213560754,2.35,-0.18,2.15,-0.0027435296393302985,-0.23348366914035326,0.719867929870038,-0.109812899705645,0.2391444704394802,0.6414606537694785,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.08,-0.0008108493424991178,-4.316870394145602e-05,0.0029646683910333625,0.00017788010346200174,2.5,0.15,0.053903061655152046,0.0032341836993091226,right_stance,0.13460883545081495,-0.14811877083236177,0.09124977757017708,0.027003385748335378,-0.1370959719611608,0.3892124568835581,-0.0058399353817709335,0.1396218301490768,0.07178768551799794,-0.02480751451869146,0.12789781977653825,0.38850559697001785,2.35,-0.18,2.15,0.0009462308115295017,-0.23329791244602183,0.7203190785290458,-0.11354536535666931,0.23869577450010773,0.6426229618336825,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.09,-0.0007356734232701356,-3.799959068035065e-05,0.003593537443676803,0.00021561224662060817,2.5,0.15,0.05989229072794672,0.0035935374436768027,right_stance,0.13291962051915593,-0.14958521151951445,0.09259001598052752,0.02258626395035205,-0.13831113502376985,0.38947381698433214,-0.001779519070064908,0.1398606257016585,0.07227935121962176,-0.022962198333694797,0.1280091973057454,0.38885034882986247,2.35,-0.18,2.15,0.004605155289181147,-0.23310567114076888,0.7206720352291425,-0.11715513051617545,0.23824993817544654,0.643657785301685,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.1,-0.0006181533848349319,-3.030201448731419e-05,0.004282298787048191,0.0002569379272228914,2.5,0.15,0.06588151980074139,0.003952891188044483,right_stance,0.13115508993620803,-0.1509963513089116,0.09385664273297639,0.01815259349861461,-0.13951687519470019,0.3896529143321992,0.0024095838328004483,0.14010723180065965,0.07265217723574743,-0.02102232033786912,0.1281262363593819,0.3890579536761384,2.35,-0.18,2.15,0.00822446537335646,-0.2329078948288452,0.7209165383644829,-0.1206333326929174,0.23780863769443017,0.6445541597367483,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.11,-0.00045810685794320585,-2.0066912626951286e-05,0.005030952421147525,0.0003018571452688514,2.5,0.15,0.07187074887353606,0.004312244932412163,right_stance,0.1293139147889497,-0.15235539090926714,0.09504056012920249,0.013712171858382381,-0.14071117053035104,0.38974668799991896,0.006726035952322901,0.1403615819860207,0.07290227785056717,-0.01898771782592691,0.12824894482034527,0.3891238890995695,2.35,-0.18,2.15,0.011795623602214101,-0.232705579583405,0.7210447987375825,-0.12397137424055837,0.2373735886534398,0.6453037530353529,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.12,-0.00025535355275829903,-7.285332086966916e-06,0.0058394983459748055,0.00035036990075848826,2.5,0.15,0.07785997794633073,0.004671598676779843,right_stance,0.1273950327159497,-0.153666030818795,0.09613463009057834,0.009274969327754332,-0.141891906106694,0.38975443342674904,0.011168515163033637,0.14062361060231815,0.0730286256095669,-0.01685823871735939,0.1283773299490882,0.38904651671628476,2.35,-0.18,2.15,0.015310358010927425,-0.2324997601156846,0.7210516326001729,-0.12716094117150561,0.23694653567948992,0.645900989530037,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.13,-9.715589512427139e-06,8.051558122811227e-06,0.006707936561530033,0.0004024761936918019,2.5,0.15,0.0838492070191254,0.005030952421147523,right_stance,0.12539762379207434,-0.1549323499447794,0.097133725334319,0.0048510816337370005,-0.1430568739707531,0.3896778281154035,0.01573571701330225,0.1408932528889574,0.07303309922167216,-0.014633742559072592,0.12851139833100045,0.3888271299939157,2.35,-0.18,2.15,0.018760684763992605,-0.23229150157010817,0.7209345424299919,-0.13019402047349882,0.23652924171408315,0.6463431206417842,False,impedance-mpc,nan,nan,nan,nan,nan,nan
0.14,0.0002789821833691225,2.5952455518080922e-05,0.007636267067813207,0.00045817602406879234,2.5,0.15,0.08983843609192008,0.005390306165515203,right_stance,0.12332107833877494,-0.15615867694567367,0.09803473501516485,0.0004506811707258723,-0.14420377453138863,0.38952090730180955,0.020426357058247496,0.14117044506415669,0.07292047621716698,-0.01231410153360099,0.1286511558235511,0.3884699465937148,2.35,-0.18,2.15,0.022138928799615636,-0.23208189102425997,0.7206937441687135,-0.13306291591174338,0.2361234770113814,0.6466302409575403,False,impedance-mpc,nan,nan,nan,nan,nan,nan
